Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
NC_016769.1,Porcine kobuvirus SH-W-CHN/2010/China,SH-W-CHN/2010/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2010,0
NC_023422.1,Caprine kobuvirus,12Q108,Aichivirus C,Kobuvirus,South Korea,Capra hircus,0,2012,0
NC_026314.1,rabbit kobuvirus,Berlin/Jan2011/0572,Aichivirus E,Kobuvirus,Germany,Rattus norvegicus,0,2011,0
NC_027054.1,Porcine kobuvirus,JS-02a-CHN/2014/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2014,0
NC_027918.1,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,,Aichivirus D,Kobuvirus,Japan,Bos taurus,0,2015,0
NC_027919.1,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,,Aichivirus D,Kobuvirus,Japan,Bos taurus,0,2014,0
NC_034971.1,Canine kobuvirus,SMCD-59,Canine kobuvirus,Kobuvirus,China,Canis lupus familiaris,0,2015,0
NC_074775.1,Aichi virus 1,,Aichivirus A,Kobuvirus,Japan,Cell culture,0,2001,0
OK019998.1,Bovine kobuvirus,HNLD2019,Aichivirus B,Kobuvirus,China,Bos taurus,0,2019,0
OK315318.1,Porcine kobuvirus,Wuhan2020,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2020,0
OM140655.1,Marmot kobuvirus,,Marmot kobuvirus,Kobuvirus,China,Marmota caudata,0,2016,0
OM274025.1,Porcine kobuvirus,AH-32,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2020,0
OM274026.1,Porcine kobuvirus,AH-42,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2018,0
OM274027.1,Porcine kobuvirus,AH-49,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2019,0
OM274028.1,Porcine kobuvirus,AH-75,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2020,0
ON007233.1,Porcine kobuvirus,XJ1904-34-PKV,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2019,0
ON075050.1,Bovine kobuvirus,BKV1/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON075051.1,Bovine kobuvirus,BKV2/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON075052.1,Bovine kobuvirus,BKV3/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON075053.1,Bovine kobuvirus,BKV4/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON075054.1,Bovine kobuvirus,BKV6/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON075055.1,Bovine kobuvirus,BKV7/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON075056.1,Bovine kobuvirus,BKV8/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON168737.1,Bovine kobuvirus,BKV9/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON168738.1,Bovine kobuvirus,BKV10/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON168739.1,Bovine kobuvirus,BKV11/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON168740.1,Bovine kobuvirus,BKV12/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON168741.1,Bovine kobuvirus,BKV13/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
