Accession,Organism_Name,Isolate,Species,Genus,Family,Country,Host,Collection_Date
NC_040673.1,tremovirus B1,,Tremovirus B,Tremovirus,Picornaviridae,China,Pelodiscus sinensis,2011-06-06
NC_004451.1,Simian sapelovirus 1,,Sapelovirus B,Sapelovirus,Picornaviridae,,,
NC_009448.2,Saffold virus,,Cardiovirus B,Cardiovirus,Picornaviridae,USA,,
NC_001366.1,Theilovirus,,Cardiovirus B,Cardiovirus,Picornaviridae,,,
NC_027919.1,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,,Aichivirus D,Kobuvirus,Picornaviridae,Japan,Bos taurus,14-Nov
NC_076015.1,fipivirus D1,,Fipivirus D,Fipivirus,Picornaviridae,China,Trachurus,
NC_035198.1,Aimelvirus 2,,Aimelvirus 2,,Picornaviridae,,,
NC_040684.1,Goose picornavirus 1,,Ludopivirus A,Ludopivirus,Picornaviridae,Hungary,Anser albifrons,2013
NC_076006.1,tropivirus A1,,Tropivirus A,Tropivirus,Picornaviridae,China,Tropidophorus sinicus,
NC_014411.1,Passerivirus A1,,Passerivirus A,Passerivirus,Picornaviridae,Hong Kong,Turdus pallidus,2007-01-11
NC_055161.1,Aimelvirus 1,,Ailurivirus A,Ailurivirus,Picornaviridae,China,,2015
NC_026921.1,Falcovirus A1,,Harkavirus A,Harkavirus,Picornaviridae,Hungary,Falco tinnunculus,2013-06-22
NC_012957.1,Salivirus NG-J1,,Salivirus A,Salivirus,Picornaviridae,Nigeria,Homo sapiens,07-Apr
NC_076008.1,Hainan oriental leaf-toed gecko picornavirus,,Hemipivirus A,Hemipivirus,Picornaviridae,China,Hemidactylus bowringii,
NC_076012.1,Wuhan sharpbelly picornavirus 2,,Fipivirus A,Fipivirus,Picornaviridae,China,Hemiculter leucisculus,
NC_035779.1,Falcon picornavirus,,Falcon picornavirus,,Picornaviridae,Hungary,Falco vespertinus,14-Jun
NC_010810.1,Saffold virus 2,,Cardiovirus D,Cardiovirus,Picornaviridae,,,
NC_076219.1,rajidapivirus A1,,Rajidapivirus A,Rajidapivirus,Picornaviridae,China,Okamejei acutispina,
NC_076013.1,Wuhan sharpbelly picornavirus 3,,Fipivirus B,Fipivirus,Picornaviridae,China,Hemiculter leucisculus,
NC_001479.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,Picornaviridae,,,
NC_015626.1,Pigeon picornavirus B,,Pigeon picornavirus B,,Picornaviridae,Norway,Columbidae,2003-08-19
NC_076011.1,Wenling crossorhombus picornavirus,,Fipivirus C,Fipivirus,Picornaviridae,China,Crossorhombus sp.,
NC_039209.1,Equine rhinitis A virus,,Equine rhinitis A virus,Aphthovirus,Picornaviridae,,Equus caballus,
NC_032126.1,livupivirus A1,,Livupivirus A,Livupivirus,Picornaviridae,Hungary,Lissotriton vulgaris,2014-04-01
NC_015940.1,Bat picornavirus 1,,Bat picornavirus 1,,Picornaviridae,Hong Kong,Miniopterus pusillus,2008-12-19
NC_015934.1,Bat picornavirus 3,,Bat picornavirus 3,,Picornaviridae,Hong Kong,Rhinolophus sinicus,2008-09-12
NC_033820.1,Bat sapelovirus,,Bat sapelovirus,Sapelovirus,Picornaviridae,Cameroon,Eidolon helvum,13-Dec
NC_040605.1,Marmot sapelovirus 1,,Marmot sapelovirus 1,Sapelovirus,Picornaviridae,China,Marmota himalayana,2013
NC_008250.2,Duck hepatitis A virus 1,,Avihepatovirus A,Avihepatovirus,Picornaviridae,,,
NC_015941.1,Bat picornavirus 2,,Bat picornavirus 2,,Picornaviridae,Hong Kong,Miniopterus magnater,2005-09-06
NC_014413.1,Oscivirus A2,,Oscivirus A,Oscivirus,Picornaviridae,Hong Kong,Turdus hortulorum,2006-12-21
NC_055108.1,poecivirus A1,,Poecivirus A,Poecivirus,Picornaviridae,USA,Poecile atricapillus,2002-12-02
NC_014412.1,Oscivirus A1,,Oscivirus A,Oscivirus,Picornaviridae,Hong Kong,Copsychus saularis,2006-12-06
NC_076038.1,Bovine picornavirus,,Bopivirus A,Bopivirus,Picornaviridae,Japan,Bos taurus,09-Dec
NC_003976.2,Ljungan virus,,Parechovirus B,Parechovirus,Picornaviridae,,,
NC_018668.1,hunnivirus A1,,Hunnivirus A,Hunnivirus,Picornaviridae,Hungary,Bos taurus,2008-02-29
NC_076037.1,Bovine picornavirus,,Bopivirus A,Bopivirus,Picornaviridae,Japan,Bos taurus,2009
NC_010354.1,bovine rhinitis B virus 1,,Bovine rhinitis B virus,Aphthovirus,Picornaviridae,United Kingdom,Bos taurus,
NC_022332.1,potamipivirus A1,,Potamipivirus A,Potamipivirus,Picornaviridae,Germany,Anguilla anguilla,05-May
NC_021482.1,Sebokele virus 1,,Parechovirus C,Parechovirus,Picornaviridae,Central African Republic,Hylomyscus,1972
NC_076220.1,Guangdong spotted longbarbel catfish picornavirus,,Limnipivirus D,Limnipivirus,Picornaviridae,China,Hemibagrus guttatus,
NC_003987.1,porcine sapelovirus 1,,Sapelovirus A,Sapelovirus,Picornaviridae,,,
NC_001489.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Picornaviridae,,,
NC_027818.1,Phopivirus,,Hepatovirus B,Hepatovirus,Picornaviridae,USA,Phoca vitulina,2011-09-30
NC_040642.1,Rhimavirus A,,Rhimavirus A,,Picornaviridae,Australia,Rhinella marina,2017
NC_038310.1,Dromedary camel enterovirus 19CC,,Enterovirus I,Enterovirus,Picornaviridae,United Arab Emirates,Camelus dromedarius,2013-02-03
NC_002058.3,Enterovirus C,,Enterovirus C,Enterovirus,Picornaviridae,,,
NC_033695.1,Enterovirus AN12,,Enterovirus AN12,Enterovirus,Picornaviridae,Japan,Bos taurus,2014-10-21
NC_001859.1,Enterovirus E,,Enterovirus E,Enterovirus,Picornaviridae,,,
NC_001612.1,Enterovirus A,,Enterovirus A,Enterovirus,Picornaviridae,,,
NC_043544.1,rafivirus B1,,Rafivirus B,Rafivirus,Picornaviridae,China,Gekko similignum,
NC_038307.1,Coxsackievirus B3,,Enterovirus B,Enterovirus,Picornaviridae,,Homo sapiens,
NC_021220.1,Enterovirus F,,Enterovirus F,Enterovirus,Picornaviridae,,,
NC_016156.1,Feline picornavirus,,Feline picornavirus,,Picornaviridae,Hong Kong,Felis catus,2007-08-24
NC_001430.1,Enterovirus D,,Enterovirus D,Enterovirus,Picornaviridae,,,
NC_001472.1,Enterovirus B,,Enterovirus B,Enterovirus,Picornaviridae,,,
NC_004441.1,Porcine enterovirus 9,,Enterovirus G,Enterovirus,Picornaviridae,,,
NC_029854.1,Yak enterovirus,,Yak enterovirus,Enterovirus,Picornaviridae,China,Bos grunniens,2014-08-15
NC_003988.1,Enterovirus H,,Enterovirus H,Enterovirus,Picornaviridae,,,
